center,left,right,steering_angle,throttle,brake,speed
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_10_508.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_10_508.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_10_508.jpg,0,1,0,10.86643
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_10_569.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_10_569.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_10_569.jpg,0,1,0,11.61928
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_10_644.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_10_644.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_10_644.jpg,0,1,0,12.43291
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_10_716.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_10_716.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_10_716.jpg,0,1,0,13.03355
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_10_787.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_10_787.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_10_787.jpg,0,1,0,13.87501
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_10_872.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_10_872.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_10_872.jpg,0,1,0,14.74692
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_10_939.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_10_939.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_10_939.jpg,-0.05,1,0,15.60336
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_004.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_004.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_004.jpg,-0.2,1,0,16.24332
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_085.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_085.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_085.jpg,-0.4,1,0,17.01648
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_170.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_170.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_170.jpg,0,1,0,17.80437
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_253.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_253.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_253.jpg,0,1,0,18.62571
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_320.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_320.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_320.jpg,0,1,0,19.4372
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_404.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_404.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_404.jpg,0,1,0,20.24577
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_473.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_473.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_473.jpg,-0.1,1,0,20.84817
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_550.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_550.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_550.jpg,-0.3,1,0,21.6096
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_624.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_624.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_624.jpg,-0.5000001,1,0,22.29301
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_705.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_705.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_705.jpg,0,1,0,23.00903
C:\Users\Mohammad\Desktop\data\IMG\center_2023_02_15_16_30_11_786.jpg,C:\Users\Mohammad\Desktop\data\IMG\left_2023_02_15_16_30_11_786.jpg,C:\Users\Mohammad\Desktop\data\IMG\right_2023_02_15_16_30_11_786.jpg,-0.05,1,0,23.77944
